iter	RMSE
848	1.572146093
849	1.56853539
850	1.56658242
851	1.564735041
852	1.562626298
853	1.55965319
854	1.558438808
855	1.556130153
856	1.553339765
857	1.551743849
858	1.550007457
859	1.548420572
860	1.546855131
861	1.544275514
862	1.542949115
863	1.540501277
864	1.538777337
865	1.5360529
866	1.534094196
867	1.532621288
868	1.530994442
869	1.529023734
870	1.527175919
871	1.525527832
872	1.524200824
873	1.522390615
874	1.520437801
875	1.5188784
876	1.516821688
877	1.514337439
878	1.51321109
879	1.51080237
880	1.509931771
881	1.508972669
882	1.507139612
883	1.504524716
884	1.502893465
885	1.501487135
886	1.500328399
887	1.497977275
888	1.495377442
889	1.493802028
890	1.492369212
891	1.49043081
892	1.488865141
893	1.487383197
894	1.485518183
895	1.483218878
896	1.481231535
897	1.479794082
898	1.478330207
899	1.476215701
900	1.474564851
901	1.473555534
902	1.472045751
903	1.469899118
904	1.468133495
905	1.467293731
906	1.465711383
907	1.464279606
908	1.462390477
909	1.461006832
910	1.459983666
911	1.458284494
912	1.45643099
913	1.454925422
914	1.453113421
915	1.451304785
916	1.448862116
917	1.447213805
918	1.445091462
919	1.443403721
920	1.441816342
921	1.439496875
922	1.437590066
923	1.436063116
924	1.433908165
925	1.433052926
926	1.430685664
927	1.428714482
928	1.427282405
929	1.425648567
930	1.424354884
931	1.422425637
932	1.421072883
933	1.419844825
934	1.418001634
935	1.416438148
936	1.414726342
937	1.412731084
938	1.411547245
939	1.410418959
940	1.408412245
941	1.407433571
942	1.40578965
943	1.403230969
944	1.401183166
945	1.399625349
946	1.397832482
947	1.395861273
948	1.39386287
949	1.3923734
950	1.390610589
951	1.388108089
952	1.386465918
953	1.385208904
954	1.383845161
955	1.382040108
956	1.379934121
957	1.377568471
958	1.37601485
959	1.374763864
960	1.372933354
961	1.371398514
962	1.369494462
963	1.368224243
964	1.366273326
965	1.36456634
966	1.362765746
967	1.361882529
968	1.360161789
969	1.359275306
970	1.357636922
971	1.355883521
972	1.354316831
973	1.353114043
974	1.351273151
975	1.34982918
976	1.348424619
977	1.347057287
978	1.345835041
979	1.344554585
980	1.343040247
981	1.341776922
982	1.340663946
983	1.339407441
984	1.337260015
985	1.335266424
986	1.333297326
987	1.331826347
988	1.330644393
989	1.328852518
990	1.327396972
991	1.326096078
992	1.32524603
993	1.324054621
994	1.322409565
995	1.320752448
996	1.319079177
997	1.317794936
998	1.316432801
999	1.314817049
